"StudyID","DataID","Year","Author","Title","Aquatic_Terrestrial","Fresh_Saline","In_Situ_Lab","Taxa","Archipelago_Type","Expanded_Archipelago_Type","Num_Data_Points","Area_Range (cm2)","RSq","RSqAdj","Z","C","AIC"
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","terra",NA,"in situ","bacteria","terrestrial","terrestrial freshwater",29,"8150000 - 1.15e+11",0.56191252043069,0.488897940502472,0.091713635764757,1294.63247439633,6.91483750755776
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","terra",NA,"in situ","fungi","terrestrial","terrestrial freshwater",29,"8150000 - 1.15e+11",0.598664389723398,0.531775121343964,0.104473225133994,332.034510692963,9.49254815438383
2,3,2019,"Battes et al","Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)","aqua","fresh","in situ","algae","lacustrine","lacustrine fresh",10,"8e+08 - 9.5e+09",0.0973932230240007,-0.624692198556799,0.0832193170356464,15.6713634029092,0.0214785869406597
3,4,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","bacteria","lacustrine","cryoconite",30,"132.7322896 - 615.7521601",0.0213682985717674,-0.13521277365675,0.0444843607658744,503.389723285882,0.00885909900512161
3,5,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","bacteria","lacustrine","cryoconite",30,"254.4690049 - 754.767635",0.0100765565963659,-0.148311194348216,0.0366089824985662,587.630052314806,0.00041412991697598
3,6,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","bacteria","lacustrine","cryoconite",30,"240.5281875 - 551.5458602",0.226788772158136,0.103074975703438,0.315085976654965,70.0154470301271,0.083190746485343
3,7,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","algae","lacustrine","cryoconite",30,"132.7322896 - 615.7521601",0.0793775403427798,-0.0679220532023754,0.201534431201447,15.6559310500366,0.383872244064577
3,8,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","algae","lacustrine","cryoconite",30,"254.4690049 - 754.767635",0.0190954364684164,-0.137849293696637,0.0579833175393764,49.7611488887572,0.29075201666214
3,9,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","algae","lacustrine","cryoconite",30,"240.5281875 - 551.5458602",0.0435144396294754,-0.109523250029809,0.25581585052373,6.72401985872154,0.169737456233634
3,10,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","fungi","lacustrine","cryoconite",30,"240.5281875 - 551.5458602",0.108225103510775,-0.034458879927501,0.626394199188217,0.204337541590719,-0.0689982355416419
3,11,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","protozoa","lacustrine","cryoconite",30,"132.7322896 - 615.7521601",0.269044266360326,0.152091348977978,0.418385221914458,4.67898593290935,0.0181410335078738
3,12,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","protozoa","lacustrine","cryoconite",30,"254.4690049 - 754.767635",0.00312803950775653,-0.156371474171002,0.0332085278893371,48.7020330597403,0.00053420563540385
3,13,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","protozoa","lacustrine","cryoconite",30,"240.5281875 - 551.5458602",0.0623703193963466,-0.087650429500238,0.748618677804126,0.411408909076038,-0.0631750432916078
4,14,2018,"Delgado-Baquerizo et al","Experimentally testing the species-habitat size relationship on soil bacteria: A proof of concept","terra",NA,"lab","bacteria","terrestrial","soil lab",15,"9 - 150",0.823383155825334,0.752736418155467,0.109434617725126,340.961767142583,0.00493035782818652
4,15,2018,"Delgado-Baquerizo et al","Experimentally testing the species-habitat size relationship on soil bacteria: A proof of concept","terra",NA,"lab","bacteria","terrestrial","soil lab",13,"9 - 150",0.695117981357283,0.542676972035924,0.0762377423605931,451.611114009366,0.00216839123140744
5,16,2017,"Glassman et al","The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale","terra",NA,"in situ","fungi","plant","plant soil",20,"68000.15396 - 654904.2585",0.225980460680794,0.0195752501956719,0.270936103648003,0.476355127784296,0.00972291337802744
5,17,2017,"Glassman et al","The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale","terra",NA,"in situ","fungi","plant","plant soil",20,"67113.97976 - 1244070.691",0.316675050113272,0.134455063476812,0.155828943483061,1.9274814912649,0.522400793727414
6,18,2017,"Varbiro et al","Functional redundance modifies species-area relationship for freshwater phytoplankton","aqua","fresh","in situ","algae","lacustrine","lacustrine fresh",218,"78.50000782 - 5.94e+12",0.0185748128575574,0.000144292911220423,0.011792234318596,23.096698524424,1.027186559955
7,19,2016,"Kavazos, C.","Small-scale biogeographic patterns of benthic bacterial and ciliate communities in the saline ponds of natural MacLeod, North-Western Australia","aqua","saline","in situ","bacteria","lacustrine","lacustrine saline",8,"950000 - 71477020000",0.241592614777834,-0.769617232185055,0.0420836673181087,38.773449320557,3.13071659230854
7,20,2016,"Kavazos, C.","Small-scale biogeographic patterns of benthic bacterial and ciliate communities in the saline ponds of natural MacLeod, North-Western Australia","aqua","saline","in situ","protozoa","lacustrine","lacustrine saline",8,"950000 - 71477020000",0.15867731357779,-0.963086268318489,0.0474654278300069,5.75116920795076,2.82876754496303
8,21,2016,"Bolgovics et al","Species-area relationship (SAR) for benthic diatoms: a study on aquatic islands","aqua","fresh","in situ","algae","lacustrine","lacustrine fresh",16,"78.52356346 - 5.92e+12",0.619389693423148,0.48098594557702,0.0469515935567308,32.2539571866122,3.32830052927659
