"","m0_true","K_true","theta_true","depth","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error","analytics"
"11",0.01,5,0.49999499995,1,605,5,8,5,6,6,7,6,10,8,5,5,7,5,6,5,6,6,6,6,6,6,7,7,6,6,8,8,5,8,6,5,6,7,5,6,5,8,5,7,6,5,6,6,5,5,6,8,5,6,5,6,6,6,6,5,6,6,8,6,5,7,6,9,7,7,7,5,7,6,6,8,8,6,7,6,5,6,7,6,7,5,6,7,6,5,6,5,6,6,8,7,5,6,6,6,6,6,7,6,9,6.25,0.106718737290547,6.09
"12",0.01,5,0.49999499995,1,720,5,7,5,6,8,7,6,9,8,5,6,7,5,6,5,6,7,8,6,6,8,6,7,7,6,7,6,6,7,7,6,8,5,6,6,5,7,5,7,6,5,7,7,6,8,6,6,5,5,5,7,6,6,6,5,6,5,7,6,5,7,7,9,7,5,6,5,8,6,6,8,7,8,7,5,6,6,7,6,7,5,6,6,6,5,6,6,7,7,8,7,5,6,7,6,7,6,7,5,7,6.33,0.0995494902553549,6.17
"13",0.01,5,0.49999499995,1,845,5,6,5,6,7,7,6,7,6,5,6,7,5,6,5,6,8,8,6,6,8,7,6,6,6,7,8,5,7,7,6,6,6,6,6,5,8,6,8,6,5,7,7,5,10,6,8,5,5,5,6,6,7,6,5,6,5,8,6,5,7,5,9,7,6,6,7,6,6,7,8,8,8,8,6,5,5,7,6,6,5,5,7,6,5,6,5,7,7,9,7,6,6,7,7,5,6,7,5,8,6.35,0.110439891782678,6.25
"14",0.01,5,0.49999499995,1,980,5,6,6,6,7,8,6,7,9,5,6,7,5,6,5,6,7,6,6,5,7,7,7,6,6,7,7,5,8,6,6,7,6,6,6,6,7,6,7,6,5,8,9,5,8,6,8,5,5,6,6,6,7,6,5,6,5,8,6,5,7,6,10,7,5,7,6,8,6,6,9,8,8,8,5,6,6,8,6,7,5,6,7,6,5,5,6,6,7,10,6,5,6,6,6,5,6,7,5,7,6.39,0.114499349387239,6.32
"15",0.01,5,0.49999499995,1,1125,5,6,5,6,7,7,6,9,8,6,6,8,5,7,5,7,8,8,7,7,8,9,7,6,6,8,8,5,8,7,6,8,6,6,6,5,8,5,7,6,5,7,8,5,8,6,8,5,5,5,6,6,7,6,5,6,5,8,6,5,6,7,9,6,5,6,6,8,5,6,7,7,8,7,6,5,5,8,6,8,5,7,7,6,5,5,6,7,7,9,8,5,7,7,5,5,7,6,5,8,6.48,0.119324699196704,6.39
"16",0.01,5,0.49999499995,1,1280,5,6,5,6,8,7,7,10,9,5,6,7,5,6,5,7,6,9,7,6,9,7,7,6,7,8,7,6,9,6,6,6,6,6,7,5,8,5,7,7,5,6,7,5,8,6,8,5,5,5,6,6,7,6,5,6,5,8,6,5,7,6,9,7,5,6,6,8,6,6,7,8,8,7,7,5,6,9,6,6,5,6,7,6,5,5,6,7,7,8,8,5,7,7,9,6,6,7,6,9,6.54,0.122614613461624,6.46
"17",0.01,5,0.49999499995,1,1445,5,7,6,6,7,8,6,8,8,5,7,7,5,7,6,6,8,7,6,6,8,7,7,7,6,8,7,6,8,6,5,6,6,5,6,6,9,6,7,7,5,6,8,5,8,6,8,5,6,6,6,6,6,6,5,6,5,8,6,5,7,6,8,7,7,7,6,8,5,6,9,7,7,7,6,5,6,9,6,8,5,7,7,6,5,5,5,7,7,8,7,5,7,7,8,5,6,7,6,10,6.53,0.112326184468145,6.52
"18",0.01,5,0.49999499995,1,1620,5,8,5,6,7,9,6,9,8,5,6,7,6,7,5,6,7,9,6,6,7,7,7,6,6,7,8,5,8,7,6,6,6,6,6,5,9,6,6,7,6,8,8,6,8,6,7,5,5,6,7,7,7,6,5,6,5,8,6,5,8,6,9,8,8,8,7,8,6,7,9,7,8,7,6,5,6,9,6,7,5,7,7,6,5,5,6,7,7,8,8,5,5,6,6,5,6,7,6,7,6.6,0.116341538305773,6.57
"19",0.01,5,0.49999499995,1,1805,5,8,6,6,7,8,6,9,9,5,6,7,5,6,5,6,7,9,6,6,8,7,7,7,6,8,8,6,8,7,6,7,6,6,7,5,10,6,7,7,5,7,8,6,9,6,8,5,6,6,7,6,7,6,5,6,5,8,6,5,7,6,11,8,7,8,6,8,6,6,9,9,8,8,7,6,8,9,6,7,5,7,7,6,5,5,6,7,7,8,8,5,7,7,6,6,7,7,6,9,6.79,0.126566946392776,6.63
"20",0.01,5,0.49999499995,1,2000,5,7,5,6,8,7,7,11,9,5,6,7,5,6,6,6,8,9,6,6,8,6,7,7,6,8,8,5,8,7,6,7,6,6,7,5,10,7,7,6,5,8,9,6,8,6,7,5,5,7,6,6,7,6,5,6,5,8,6,5,8,6,12,7,6,7,7,8,6,6,10,8,8,7,6,6,6,8,6,7,5,7,7,6,5,5,6,7,6,8,7,5,7,7,6,6,7,7,5,10,6.72,0.137862469896853,6.68
