"","R.Squared","AIC.Score","BIC.Score","ID","Species","Temp","Model"
"1",0.998418596525447,-100.474003576426,-95.1451855357256,1,"Chryseobacterium.balustinum",5,"Logistic"
"2",0.995974109015019,-72.3098649796947,-65.6488424288187,1,"Chryseobacterium.balustinum",5,"Gompertz"
"3",NA,NA,NA,1,"Chryseobacterium.balustinum",5,"Baranyi"
"4",NA,NA,NA,1,"Chryseobacterium.balustinum",5,"Buchanan"
"5",0.934979867982209,3.58475451363071,8.91357255433153,1,"Chryseobacterium.balustinum",5,"Quadratic"
"6",0.987590443275394,-40.7896873322186,-34.1286647813426,1,"Chryseobacterium.balustinum",5,"Polynomial"
"7",0.714849861402188,42.9776836677899,46.9742971983155,1,"Chryseobacterium.balustinum",5,"Linear"
"8",0.982294276180286,-71.0032234297833,-65.6744053890825,2,"Enterobacter.sp.",5,"Logistic"
"9",0.997938551585574,-129.216638717458,-122.555616166582,2,"Enterobacter.sp.",5,"Gompertz"
"10",NA,NA,NA,2,"Enterobacter.sp.",5,"Baranyi"
"11",NA,NA,NA,2,"Enterobacter.sp.",5,"Buchanan"
"12",0.60652954783068,15.8280808027187,21.1568988434195,2,"Enterobacter.sp.",5,"Quadratic"
"13",0.836863960280425,-6.82372184193967,-0.162699291063646,2,"Enterobacter.sp.",5,"Polynomial"
"14",0.278205569558499,30.8166440228552,34.8132575533808,2,"Enterobacter.sp.",5,"Linear"
"15",0.923630987172821,8.47607751887244,13.8048955595733,3,"Pantoea.agglomerans.1",5,"Logistic"
"16",0.996508677035659,-75.9122184714689,-69.2511959205929,3,"Pantoea.agglomerans.1",5,"Gompertz"
"17",0.994680122213409,-64.1194698567451,-57.4584473058691,3,"Pantoea.agglomerans.1",5,"Baranyi"
"18",NA,NA,NA,3,"Pantoea.agglomerans.1",5,"Buchanan"
"19",0.622752100664475,53.2011917047896,58.5300097454905,3,"Pantoea.agglomerans.1",5,"Quadratic"
"20",0.855506576895469,28.3304726519455,34.9914952028215,3,"Pantoea.agglomerans.1",5,"Polynomial"
"21",0.260179451628343,70.0593352137117,74.0559487442373,3,"Pantoea.agglomerans.1",5,"Linear"
"22",0.825556052238575,38.4616448552803,44.066434381929,4,"Pantoea.agglomerans.2",5,"Logistic"
"23",0.939319677951689,8.78212449569613,15.7881114040069,4,"Pantoea.agglomerans.2",5,"Gompertz"
"24",0.946040756142692,5.26041118861043,12.2663980969212,4,"Pantoea.agglomerans.2",5,"Baranyi"
"25",NA,NA,NA,4,"Pantoea.agglomerans.2",5,"Buchanan"
"26",0.786132772598886,44.5742023351058,50.1789918617544,4,"Pantoea.agglomerans.2",5,"Quadratic"
"27",0.943966979629857,6.39177563485426,13.397762543165,4,"Pantoea.agglomerans.2",5,"Polynomial"
"28",0.213360141744104,81.6466565505208,85.8502486955072,4,"Pantoea.agglomerans.2",5,"Linear"
"29",0.14624250677357,59.9117179999417,64.9441041520276,5,"Bacillus.pumilus",5,"Logistic"
"30",NA,NA,NA,5,"Bacillus.pumilus",5,"Gompertz"
"31",NA,NA,NA,5,"Bacillus.pumilus",5,"Baranyi"
"32",NA,NA,NA,5,"Bacillus.pumilus",5,"Buchanan"
"33",0.20575431189767,58.0331050704236,63.0654912225095,5,"Bacillus.pumilus",5,"Quadratic"
"34",0.20831781870079,59.9490517711338,66.2395344612412,5,"Bacillus.pumilus",5,"Polynomial"
"35",0.142300646313096,58.0314856159177,61.8057752299821,5,"Bacillus.pumilus",5,"Linear"
"36",0.995957290305842,-83.3273765732429,-77.9985585325421,6,"Clavibacter.michiganensis",5,"Logistic"
"37",0.996633713579792,-86.4543165511615,-79.7932940002855,6,"Clavibacter.michiganensis",5,"Gompertz"
"38",NA,NA,NA,6,"Clavibacter.michiganensis",5,"Baranyi"
"39",NA,NA,NA,6,"Clavibacter.michiganensis",5,"Buchanan"
"40",0.97163711472217,-28.7787215577851,-23.4499035170843,6,"Clavibacter.michiganensis",5,"Quadratic"
"41",0.993222846983712,-66.8614027811913,-60.2003802303153,6,"Clavibacter.michiganensis",5,"Polynomial"
"42",0.791154082404333,25.123707111488,29.1203206420137,6,"Clavibacter.michiganensis",5,"Linear"
"43",0.945714020004485,-8.10695403385389,-2.77813599315308,7,"Pseudomonas.fluorescens.1",5,"Logistic"
"44",0.983232326635652,-39.0017227955612,-32.3407002446852,7,"Pseudomonas.fluorescens.1",5,"Gompertz"
"45",NA,NA,NA,7,"Pseudomonas.fluorescens.1",5,"Baranyi"
"46",NA,NA,NA,7,"Pseudomonas.fluorescens.1",5,"Buchanan"
"47",0.82197472658031,25.1475127336155,30.4763307743163,7,"Pseudomonas.fluorescens.1",5,"Quadratic"
"48",0.974828632909409,-27.6266025716146,-20.9655800207386,7,"Pseudomonas.fluorescens.1",5,"Polynomial"
"49",0.368584250005567,58.5966045839447,62.5932181144703,7,"Pseudomonas.fluorescens.1",5,"Linear"
"50",0.98377741805656,-28.3626500224883,-23.0338319817875,8,"Pseudomonas.fluorescens.2",5,"Logistic"
"51",0.990711394166037,-41.9758909903421,-35.3148684394661,8,"Pseudomonas.fluorescens.2",5,"Gompertz"
"52",NA,NA,NA,8,"Pseudomonas.fluorescens.2",5,"Baranyi"
"53",NA,NA,NA,8,"Pseudomonas.fluorescens.2",5,"Buchanan"
"54",0.956611343311624,-0.816423017827953,4.51239502287286,8,"Pseudomonas.fluorescens.2",5,"Quadratic"
"55",0.988609248145745,-36.2635181579721,-29.6024956070961,8,"Pseudomonas.fluorescens.2",5,"Polynomial"
"56",0.653788254524078,55.3354477858014,59.332061316327,8,"Pseudomonas.fluorescens.2",5,"Linear"
"57",0.981390112993381,-66.954925674853,-61.6261076341522,9,"Acinetobacter.clacoaceticus.1",5,"Logistic"
"58",0.982044162805214,-65.9567025350264,-59.2956799841504,9,"Acinetobacter.clacoaceticus.1",5,"Gompertz"
"59",NA,NA,NA,9,"Acinetobacter.clacoaceticus.1",5,"Baranyi"
"60",NA,NA,NA,9,"Acinetobacter.clacoaceticus.1",5,"Buchanan"
"61",0.952548053729219,-40.7462384841408,-35.41742044344,9,"Acinetobacter.clacoaceticus.1",5,"Quadratic"
"62",0.979151928401321,-61.7750089150206,-55.1139863641446,9,"Acinetobacter.clacoaceticus.1",5,"Polynomial"
